sku,attribute_set_code,product_type,categories,product_websites,name,short_description,product_online,tax_class_name,visibility,price,url_key,meta_title,meta_keywords,new_from_date,new_to_date,is_in_stock,qty
1038050,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"UV zaštitno staklo za Samsung S9 PLUS ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",23.90,1038050,"UV zaštitno staklo za Samsung S9 PLUS ","UV,zaštitno,staklo,za,Samsung,S9,PLUS,",5/11/2019,6/11/2019,1,5
1038055,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Držač za mob. tel.",base,"PopSocket ""Vodex""-Square","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",3.00,1038055,"PopSocket ""Vodex""-Square","PopSocket,""Vodex""-Square",5/13/2019,6/13/2019,1,62
1038056,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita kamere za iPhone 8 crna","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",3.90,1038056,"Zaštita kamere za iPhone 8 crna","Zaštita,kamere,za,iPhone,8,crna",5/11/2019,6/11/2019,1,10
1038057,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita kamere za iPhone X crna","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",3.90,1038057,"Zaštita kamere za iPhone X crna","Zaštita,kamere,za,iPhone,X,crna",5/11/2019,6/11/2019,1,16
1038058,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Data kabal",base,"Data kabal-držač ""Palm shape"" Micro USB","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",14.90,1038058,"Data kabal-držač ""Palm shape"" Micro USB","Data,kabal-držač,""Palm,shape"",Micro,USB",5/11/2019,6/11/2019,1,4
1038059,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Data kabal",base,"Data kabal-držač ""Palm shape""  Type-C","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",14.90,1038059,"Data kabal-držač ""Palm shape""  Type-C","Data,kabal-držač,""Palm,shape"",Type-C",5/11/2019,6/11/2019,1,6
1038060,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Data kabal",base,"Data kabal-držač ""Palm shape"" Lightning-iPhone 5/6/7/8/X","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",14.90,1038060,"Data kabal-držač ""Palm shape"" Lightning-iPhone 5/6/7/8/X","Data,kabal-držač,""Palm,shape"",Lightning-iPhone,5/6/7/8/X",5/11/2019,6/11/2019,1,6
1038061,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Držač za mob. tel.",base,"Držač za mobilni telefon ""Head mounts"" crna boja","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",9.90,1038061,"Držač za mobilni telefon ""Head mounts"" crna boja","Držač,za,mobilni,telefon,""Head,mounts"",crna,boja",5/11/2019,6/11/2019,1,6
1038062,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Držač za mob. tel.",base,"Držač za mobilni telefon ""Head mounts"" zelena boja","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",9.90,1038062,"Držač za mobilni telefon ""Head mounts"" zelena boja","Držač,za,mobilni,telefon,""Head,mounts"",zelena,boja",5/11/2019,6/11/2019,1,4
1038063,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Držač za mob. tel.",base,"Držač za mobilni telefon ""Head mounts"" crvena boja","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",9.90,1038063,"Držač za mobilni telefon ""Head mounts"" crvena boja","Držač,za,mobilni,telefon,""Head,mounts"",crvena,boja",5/11/2019,6/11/2019,1,5
1038125,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Acatel 3C crna","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038125,"Futrola Teracell Giulietta za Acatel 3C crna","Futrola,Teracell,Giulietta,za,Acatel,3C,crna",5/11/2019,6/11/2019,1,17
1038126,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Alcatel 1X crna","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038126,"Futrola Teracell Giulietta za Alcatel 1X crna","Futrola,Teracell,Giulietta,za,Alcatel,1X,crna",5/12/2019,6/12/2019,1,28
1038127,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Alcatel 1X ljubičasta","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038127,"Futrola Teracell Giulietta za Alcatel 1X ljubičasta","Futrola,Teracell,Giulietta,za,Alcatel,1X,ljubičasta",5/11/2019,6/11/2019,1,20
1038128,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Alcatel 1X roza","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038128,"Futrola Teracell Giulietta za Alcatel 1X roza","Futrola,Teracell,Giulietta,za,Alcatel,1X,roza",5/11/2019,6/11/2019,1,20
1038129,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Alcatel 1X svijetlo plava","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038129,"Futrola Teracell Giulietta za Alcatel 1X svijetlo plava","Futrola,Teracell,Giulietta,za,Alcatel,1X,svijetlo,plava",5/11/2019,6/11/2019,1,19
1038130,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei Y6 2018 crna","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038130,"Futrola Teracell Giulietta za Huawei Y6 2018 crna","Futrola,Teracell,Giulietta,za,Huawei,Y6,2018,crna",5/28/2019,6/28/2019,1,47
1038131,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei Y6 2018 ljubičasta","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038131,"Futrola Teracell Giulietta za Huawei Y6 2018 ljubičasta","Futrola,Teracell,Giulietta,za,Huawei,Y6,2018,ljubičasta",5/16/2019,6/16/2019,1,9
1038132,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei Y6 2018 roza","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038132,"Futrola Teracell Giulietta za Huawei Y6 2018 roza","Futrola,Teracell,Giulietta,za,Huawei,Y6,2018,roza",5/16/2019,6/16/2019,1,14
1038133,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei Y6 2018 light plava","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038133,"Futrola Teracell Giulietta za Huawei Y6 2018 light plava","Futrola,Teracell,Giulietta,za,Huawei,Y6,2018,light,plava",5/11/2019,6/11/2019,1,1
1038134,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Alcatel 1C crna","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038134,"Futrola Teracell Giulietta za Alcatel 1C crna","Futrola,Teracell,Giulietta,za,Alcatel,1C,crna",5/11/2019,6/11/2019,1,11
1038135,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Alcatel 1C ljubičasta","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038135,"Futrola Teracell Giulietta za Alcatel 1C ljubičasta","Futrola,Teracell,Giulietta,za,Alcatel,1C,ljubičasta",5/11/2019,6/11/2019,1,20
1038136,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Alcatel 1C roza","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038136,"Futrola Teracell Giulietta za Alcatel 1C roza","Futrola,Teracell,Giulietta,za,Alcatel,1C,roza",5/11/2019,6/11/2019,1,20
1038137,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Alcatel 1C light plava","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038137,"Futrola Teracell Giulietta za Alcatel 1C light plava","Futrola,Teracell,Giulietta,za,Alcatel,1C,light,plava",5/11/2019,6/11/2019,1,29
1038138,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Alcatel 3V crna","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038138,"Futrola Teracell Giulietta za Alcatel 3V crna","Futrola,Teracell,Giulietta,za,Alcatel,3V,crna",5/11/2019,6/11/2019,1,9
1038139,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei Y7 Prime 2018/Honor 7C crna","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038139,"Futrola Teracell Giulietta za Huawei Y7 Prime 2018/Honor 7C crna","Futrola,Teracell,Giulietta,za,Huawei,Y7,Prime,2018/Honor,7C,crna",5/16/2019,6/16/2019,1,81
1038140,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei Y7 Prime 2018 roza","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038140,"Futrola Teracell Giulietta za Huawei Y7 Prime 2018 roza","Futrola,Teracell,Giulietta,za,Huawei,Y7,Prime,2018,roza",5/11/2019,6/11/2019,1,19
